timestamp,close,high,low,trade_count,open,volume,vwap
2020-07-27 13:30:00+00:00,137.29,137.61,137.29,70,137.58,24723,137.429843
2020-07-27 13:35:00+00:00,137.04,137.33,137.04,19,137.3,2975,137.235868
2020-07-27 13:40:00+00:00,137.48,137.48,136.98,32,137.05,3731,137.286063
2020-07-27 13:45:00+00:00,138.01,138.01,137.41,37,137.47,8983,137.866063
2020-07-27 13:50:00+00:00,138.16,138.16,137.92,49,137.93,7542,138.04412
2020-07-27 13:55:00+00:00,138.29,138.32,138.12,12,138.14,2195,138.279362
2020-07-27 14:00:00+00:00,138.16,138.29,137.97,228,138.28,24412,138.136823
2020-07-27 14:05:00+00:00,138.22,138.25,138.1,24,138.24,3798,138.202149
2020-07-27 14:10:00+00:00,138.36,138.4,138.29,36,138.29,4632,138.353262
2020-07-27 14:15:00+00:00,138.45,138.53,138.34,23,138.34,3111,138.433826
2020-07-27 14:20:00+00:00,138.42,138.54,138.41,15,138.45,2085,138.466886
2020-07-27 14:25:00+00:00,138.57,138.57,138.41,9,138.44,2071,138.488612
2020-07-27 14:30:00+00:00,138.37,138.58,138.37,25,138.51,3734,138.476434
2020-07-27 14:35:00+00:00,138.65,138.65,138.3,34,138.34,6524,138.513486
2020-07-27 14:40:00+00:00,138.34,138.66,138.31,24,138.66,3812,138.42159
2020-07-27 14:45:00+00:00,138.23,138.36,138.22,20,138.32,2785,138.304689
2020-07-27 14:50:00+00:00,138.23,138.27,138.17,27,138.24,3155,138.221988
2020-07-27 14:55:00+00:00,138.07,138.21,138.07,14,138.16,7995,138.12557
2020-07-27 15:00:00+00:00,138.07,138.16,138.03,15,138.05,1810,138.083337
2020-07-27 15:05:00+00:00,138.04,138.12,138.02,11,138.07,4069,138.032873
2020-07-27 15:10:00+00:00,137.81,138.06,137.81,18,138.06,2558,137.975264
2020-07-27 15:15:00+00:00,137.81,137.83,137.74,23,137.81,4613,137.785636
2020-07-27 15:20:00+00:00,137.56,137.77,137.56,19,137.77,6233,137.720328
2020-07-27 15:25:00+00:00,137.63,137.63,137.55,28,137.56,15343,137.562915
2020-07-27 15:30:00+00:00,137.71,137.73,137.62,9,137.62,1500,137.648667
2020-07-27 15:35:00+00:00,137.4,137.6,137.29,23,137.6,3060,137.360881
2020-07-27 15:40:00+00:00,137.39,137.5,137.39,9,137.42,1221,137.430833
2020-07-27 15:45:00+00:00,137.48,137.48,137.42,17,137.42,5000,137.4672
2020-07-27 15:50:00+00:00,137.52,137.52,137.51,3,137.52,606,137.51
2020-07-27 15:55:00+00:00,137.63,137.74,137.63,7,137.69,502,137.69
2020-07-27 16:00:00+00:00,137.76,137.76,137.7,2,137.7,300,137.74
2020-07-27 16:05:00+00:00,137.85,137.86,137.84,6,137.85,700,137.851429
2020-07-27 16:15:00+00:00,137.88,137.88,137.81,5,137.81,900,137.828889
2020-07-27 16:20:00+00:00,137.97,137.97,137.85,2,137.85,200,137.91
2020-07-27 16:25:00+00:00,137.99,138.01,137.91,8,137.93,2742,137.928388
2020-07-27 16:30:00+00:00,137.87,137.99,137.87,10,137.99,1142,137.908027
2020-07-27 16:35:00+00:00,137.88,137.93,137.82,25,137.88,6600,137.897742
2020-07-27 16:40:00+00:00,138.02,138.02,137.89,14,137.89,2515,137.961636
2020-07-27 16:45:00+00:00,137.97,137.99,137.96,5,137.99,500,137.974
2020-07-27 16:50:00+00:00,138.06,138.06,138.05,3,138.05,300,138.056667
