timestamp,close,high,low,trade_count,open,volume,vwap
2020-07-27 13:30:00+00:00,295.2,295.2,295.2,1,295.2,100,295.2
2020-07-27 14:10:00+00:00,296.54,296.54,296.54,1,296.54,100,296.54
2020-07-27 14:25:00+00:00,296.32,296.34,296.25,6,296.34,437,296.30375
2020-07-27 14:30:00+00:00,296.31,296.32,296.3,3,296.32,300,296.31
2020-07-27 14:35:00+00:00,296.6,296.61,296.6,4,296.61,301,296.606667
2020-07-27 14:45:00+00:00,296.54,296.54,296.54,1,296.54,100,296.54
2020-07-27 14:55:00+00:00,296.38,296.42,296.38,2,296.42,200,296.4
2020-07-27 15:00:00+00:00,296.22,296.4,296.22,6,296.35,500,296.3425
2020-07-27 15:10:00+00:00,296.18,296.18,296.18,1,296.18,100,296.18
2020-07-27 15:20:00+00:00,296.06,296.11,296.06,2,296.11,200,296.085
2020-07-27 15:30:00+00:00,295.72,295.72,295.72,1,295.72,100,295.72
2020-07-27 15:35:00+00:00,295.28,295.28,295.28,1,295.28,100,295.28
2020-07-27 16:00:00+00:00,295.8,295.8,295.67,3,295.67,392,295.766837
2020-07-27 16:05:00+00:00,295.9,295.9,295.9,2,295.9,101,295.9
2020-07-27 16:20:00+00:00,295.87,295.87,295.87,3,295.87,200,295.87
2020-07-27 16:25:00+00:00,296.01,296.01,296.01,1,296.01,100,296.01
2020-07-27 16:30:00+00:00,296.06,296.06,296.06,2,296.06,130,296.06
2020-07-27 16:40:00+00:00,296.15,296.2,296.15,3,296.2,250,296.175
2020-07-27 16:55:00+00:00,296.18,296.18,296.18,1,296.18,100,296.18
2020-07-27 17:00:00+00:00,296.29,296.29,296.26,2,296.26,200,296.275
2020-07-27 17:20:00+00:00,296.37,296.37,296.31,2,296.31,200,296.34
2020-07-27 17:35:00+00:00,296.5,296.5,296.5,1,296.5,100,296.5
2020-07-27 17:40:00+00:00,296.39,296.4,296.39,2,296.4,200,296.395
2020-07-27 17:50:00+00:00,296.27,296.27,296.27,1,296.27,100,296.27
2020-07-27 17:55:00+00:00,296.28,296.29,296.28,3,296.28,1200,296.280833
2020-07-27 18:00:00+00:00,296.28,296.34,296.24,3,296.24,300,296.286667
2020-07-27 18:05:00+00:00,296.47,296.47,296.33,3,296.33,300,296.416667
2020-07-27 18:10:00+00:00,296.265,296.39,296.265,2,296.39,200,296.3275
2020-07-27 18:15:00+00:00,296.19,296.19,296.14,2,296.14,200,296.165
2020-07-27 18:25:00+00:00,296.46,296.46,296.46,2,296.46,180,296.46
2020-07-27 18:30:00+00:00,296.54,296.54,296.5,5,296.52,405,296.52
2020-07-27 18:35:00+00:00,296.57,296.57,296.57,1,296.57,100,296.57
2020-07-27 18:40:00+00:00,296.58,296.61,296.58,5,296.595,1200,296.59875
2020-07-27 18:45:00+00:00,296.36,296.36,296.36,1,296.36,100,296.36
2020-07-27 18:50:00+00:00,296.49,296.49,296.49,1,296.49,100,296.49
2020-07-27 18:55:00+00:00,296.21,296.26,296.21,4,296.26,330,296.226667
2020-07-27 19:00:00+00:00,296.57,296.57,296.28,5,296.28,360,296.393333
2020-07-27 19:05:00+00:00,296.62,296.62,296.62,1,296.62,100,296.62
2020-07-27 19:10:00+00:00,296.57,296.66,296.57,2,296.66,200,296.615
2020-07-27 19:15:00+00:00,296.75,296.75,296.635,3,296.635,300,296.676667
2020-07-27 19:20:00+00:00,296.81,296.87,296.64,7,296.64,617,296.758333
2020-07-27 19:25:00+00:00,296.94,296.94,296.84,5,296.84,363,296.896667
2020-07-27 19:30:00+00:00,297.09,297.09,296.97,9,297.0,721,297.02
2020-07-27 19:35:00+00:00,296.82,297.0,296.82,4,297.0,400,296.885
2020-07-27 19:40:00+00:00,296.92,296.92,296.92,2,296.92,1100,296.92
2020-07-27 19:45:00+00:00,296.96,296.98,296.96,2,296.98,200,296.97
2020-07-27 19:50:00+00:00,296.87,296.96,296.76,12,296.8,1000,296.8375
2020-07-27 19:55:00+00:00,296.98,297.02,296.78,29,296.78,2862,296.892553
2020-07-28 13:50:00+00:00,295.82,295.82,295.82,1,295.82,100,295.82
2020-07-28 14:20:00+00:00,296.58,296.58,296.58,1,296.58,100,296.58
2020-07-28 14:30:00+00:00,296.68,296.68,296.68,1,296.68,100,296.68
2020-07-28 14:40:00+00:00,296.3,296.3,296.3,1,296.3,500,296.3
2020-07-28 14:50:00+00:00,296.345,296.345,296.345,1,296.345,131,296.345
2020-07-28 14:55:00+00:00,296.58,296.58,296.58,1,296.58,100,296.58
2020-07-28 15:00:00+00:00,296.54,296.54,296.5,13,296.5,3945,296.536929
2020-07-28 15:05:00+00:00,296.19,296.19,296.15,3,296.15,301,296.176667
2020-07-28 15:10:00+00:00,296.79,296.79,296.79,1,296.79,100,296.79
2020-07-28 15:35:00+00:00,296.99,296.99,296.99,1,296.99,100,296.99
