timestamp,close,high,low,trade_count,open,volume,vwap
2020-07-27 13:30:00+00:00,153.01,153.17,151.77,62,152.94,86980,152.768919
2020-07-27 13:35:00+00:00,153.76,153.76,152.83,26,153.02,25480,153.347
2020-07-27 13:40:00+00:00,154.09,154.54,153.8,62,154.16,87240,154.191111
2020-07-27 13:45:00+00:00,154.53,154.53,154.05,9,154.05,8120,154.293333
2020-07-27 13:50:00+00:00,154.24,154.54,154.24,18,154.39,20740,154.41625
2020-07-27 13:55:00+00:00,153.87,154.2,153.87,9,154.18,8380,154.03
2020-07-27 14:00:00+00:00,153.73,154.15,153.65,26,153.76,40260,153.842778
2020-07-27 14:05:00+00:00,152.85,153.73,152.84,34,153.64,33640,153.041673
2020-07-27 14:10:00+00:00,152.42,153.43,152.38,65,153.16,51320,152.991893
2020-07-27 14:15:00+00:00,152.57,152.81,152.57,20,152.65,17140,152.677143
2020-07-27 14:20:00+00:00,152.71,152.82,152.45,14,152.65,13460,152.65
2020-07-27 14:25:00+00:00,152.46,152.65,152.46,27,152.65,27160,152.585556
2020-07-27 14:30:00+00:00,152.95,152.95,152.82,8,152.82,6520,152.876667
2020-07-27 14:35:00+00:00,153.16,153.16,152.79,34,152.84,36320,152.85625
2020-07-27 14:40:00+00:00,153.2,153.53,153.2,17,153.24,14820,153.344286
2020-07-27 14:45:00+00:00,153.63,153.64,153.63,2,153.64,4000,153.63
2020-07-27 14:50:00+00:00,153.41,153.59,153.2,19,153.59,14760,153.305714
2020-07-27 14:55:00+00:00,152.91,153.53,152.91,11,153.53,10300,153.18
2020-07-27 15:00:00+00:00,152.88,152.88,152.76,5,152.85,10000,152.826
2020-07-27 15:05:00+00:00,152.44,152.69,152.44,8,152.69,4240,152.565
2020-07-27 15:10:00+00:00,152.23,152.65,152.23,21,152.65,23260,152.447
2020-07-27 15:15:00+00:00,152.0,152.0,151.34,15,151.8,14280,151.707815
2020-07-27 15:20:00+00:00,151.95,152.21,151.95,5,152.21,6120,152.07
2020-07-27 15:25:00+00:00,151.17,151.19,151.09,7,151.09,9160,151.15
2020-07-27 15:30:00+00:00,151.65,151.74,151.61,9,151.61,8260,151.6725
2020-07-27 15:35:00+00:00,150.81,151.58,150.81,31,151.58,40000,151.165
2020-07-27 15:45:00+00:00,151.31,151.31,151.31,5,151.31,2640,151.31
2020-07-27 15:55:00+00:00,151.88,151.88,151.88,2,151.88,2100,151.88
2020-07-27 16:00:00+00:00,151.89,151.89,151.73,7,151.73,14120,151.860909
2020-07-27 16:05:00+00:00,152.24,152.24,152.24,5,152.24,3180,152.24
2020-07-27 16:10:00+00:00,152.11,152.11,152.11,2,152.11,2200,152.11
2020-07-27 16:15:00+00:00,152.03,152.55,152.03,8,152.55,6500,152.356667
2020-07-27 16:20:00+00:00,152.31,152.31,152.31,1,152.31,2000,152.31
2020-07-27 16:25:00+00:00,152.13,152.14,152.13,4,152.14,4860,152.135
2020-07-27 16:35:00+00:00,152.45,152.46,152.27,5,152.27,8200,152.3825
2020-07-27 16:45:00+00:00,152.0,152.0,152.0,6,152.0,2600,152.0
2020-07-27 16:50:00+00:00,152.14,152.14,152.14,3,152.14,2180,152.14
2020-07-27 16:55:00+00:00,151.88,152.03,151.88,4,152.03,6120,151.98
2020-07-27 17:00:00+00:00,152.17,152.21,152.0,20,152.03,34240,152.145294
2020-07-27 17:05:00+00:00,152.04,152.15,152.04,4,152.15,6200,152.09
2020-07-27 17:10:00+00:00,152.24,152.24,152.11,8,152.11,10140,152.152
2020-07-27 17:15:00+00:00,152.11,152.18,152.02,7,152.18,10140,152.086
2020-07-27 17:20:00+00:00,152.19,152.19,152.18,3,152.18,4100,152.185
2020-07-27 17:25:00+00:00,152.22,152.22,152.2,12,152.2,6780,152.206667
2020-07-27 17:35:00+00:00,152.03,152.07,152.03,5,152.07,4280,152.05
2020-07-27 17:40:00+00:00,152.04,152.04,152.04,4,152.04,4000,152.04
2020-07-27 17:45:00+00:00,151.79,151.79,151.79,4,151.79,2420,151.79
2020-07-27 17:50:00+00:00,151.9,151.9,151.9,1,151.9,2000,151.9
2020-07-27 17:55:00+00:00,151.88,151.88,151.86,8,151.86,9100,151.874118
2020-07-27 18:00:00+00:00,151.91,151.91,151.91,7,151.91,2600,151.91
2020-07-27 18:10:00+00:00,152.65,152.65,152.65,2,152.65,2320,152.65
2020-07-27 18:25:00+00:00,153.08,153.25,153.08,7,153.25,11000,153.208
2020-07-27 18:30:00+00:00,153.08,153.13,153.08,4,153.13,5100,153.105
2020-07-27 18:35:00+00:00,153.25,153.25,153.25,2,153.25,2040,153.25
2020-07-27 18:40:00+00:00,152.78,152.99,152.78,4,152.99,4160,152.885
2020-07-27 18:45:00+00:00,152.72,152.72,152.72,2,152.72,2100,152.72
2020-07-27 18:50:00+00:00,153.13,153.13,153.13,3,153.13,4020,153.13
2020-07-27 18:55:00+00:00,152.68,152.68,152.68,1,152.68,2000,152.68
2020-07-27 19:05:00+00:00,153.32,153.32,153.32,2,153.32,4000,153.32
2020-07-27 19:10:00+00:00,153.43,153.43,153.39,5,153.39,4160,153.41
2020-07-27 19:25:00+00:00,153.47,153.51,153.47,7,153.51,5180,153.49
2020-07-27 19:30:00+00:00,153.55,153.55,153.55,1,153.55,2000,153.55
2020-07-27 19:35:00+00:00,153.22,153.25,153.0,10,153.0,10000,153.156667
2020-07-27 19:40:00+00:00,153.35,153.35,153.25,6,153.25,9020,153.2925
2020-07-27 19:45:00+00:00,153.27,153.27,153.27,6,153.27,2420,153.27
2020-07-27 19:50:00+00:00,152.8,152.8,152.74,8,152.8,8200,152.78
2020-07-27 19:55:00+00:00,152.78,152.86,152.78,41,152.78,22460,152.803474
2020-07-28 13:30:00+00:00,152.1,152.73,151.86,47,152.68,47240,152.24883
2020-07-28 13:35:00+00:00,152.4,152.4,152.06,22,152.32,17300,152.308
2020-07-28 13:40:00+00:00,152.79,152.79,152.5,18,152.51,16160,152.566
2020-07-28 13:45:00+00:00,153.44,153.44,152.74,29,152.74,19160,153.194975
2020-07-28 14:00:00+00:00,152.96,153.39,152.96,7,153.39,5640,153.175
2020-07-28 14:05:00+00:00,153.08,153.13,152.94,8,152.94,9440,153.07
2020-07-28 14:10:00+00:00,152.76,152.76,152.75,3,152.75,8000,152.755
2020-07-28 14:15:00+00:00,152.91,152.91,152.91,4,152.91,4300,152.91
2020-07-28 14:20:00+00:00,153.3,153.3,153.3,2,153.3,2480,153.3
2020-07-28 14:25:00+00:00,153.07,153.07,153.07,6,153.07,3100,153.07
2020-07-28 14:30:00+00:00,152.68,152.92,152.68,21,152.91,23260,152.805
2020-07-28 14:35:00+00:00,152.38,152.38,152.38,1,152.38,2000,152.38
2020-07-28 14:40:00+00:00,152.56,152.78,152.56,16,152.7,21860,152.675556
2020-07-28 14:45:00+00:00,152.29,152.42,152.29,10,152.3,16300,152.35375
2020-07-28 14:50:00+00:00,152.37,152.37,152.32,2,152.32,4000,152.345
2020-07-28 14:55:00+00:00,152.78,152.78,152.78,1,152.78,2000,152.78
2020-07-28 15:00:00+00:00,152.55,152.61,152.54,7,152.61,7120,152.563333
2020-07-28 15:05:00+00:00,152.41,152.42,152.14,7,152.39,9820,152.3425
2020-07-28 15:10:00+00:00,152.41,152.45,152.4,13,152.4,26000,152.43
2020-07-28 15:15:00+00:00,152.57,152.73,152.57,2,152.73,4000,152.65
2020-07-28 15:25:00+00:00,152.54,152.58,152.53,9,152.57,12860,152.56
2020-07-28 15:30:00+00:00,152.53,152.55,152.51,5,152.55,7060,152.53
2020-07-28 15:35:00+00:00,152.47,152.5,152.47,5,152.5,6040,152.485
2020-07-28 15:40:00+00:00,152.74,152.77,152.73,5,152.77,6080,152.743333
2020-07-28 15:50:00+00:00,152.36,152.53,152.36,5,152.53,8300,152.4025
2020-07-28 16:00:00+00:00,152.23,152.23,152.23,2,152.23,2820,152.23
2020-07-28 16:05:00+00:00,152.31,152.31,152.28,5,152.31,8020,152.3
2020-07-28 16:10:00+00:00,152.31,152.31,152.19,15,152.31,18420,152.26125
2020-07-28 16:25:00+00:00,152.44,152.44,152.36,2,152.36,4000,152.4
2020-07-28 16:35:00+00:00,152.52,152.52,152.52,3,152.52,8000,152.52
2020-07-28 16:55:00+00:00,152.73,152.73,152.71,3,152.71,4040,152.72
2020-07-28 17:00:00+00:00,152.87,152.87,152.87,3,152.87,2080,152.87
2020-07-28 17:05:00+00:00,152.56,152.58,152.54,8,152.55,10200,152.558
2020-07-28 17:10:00+00:00,152.38,152.38,152.38,1,152.38,2000,152.38
2020-07-28 17:25:00+00:00,152.54,152.54,152.54,2,152.54,3260,152.54
2020-07-28 17:30:00+00:00,152.43,152.43,152.43,1,152.43,2000,152.43
2020-07-28 17:35:00+00:00,152.42,152.42,152.42,10,152.42,7380,152.42
2020-07-28 17:50:00+00:00,152.57,152.57,152.57,4,152.57,2080,152.57
2020-07-28 18:00:00+00:00,152.16,152.25,152.16,6,152.25,6480,152.205
2020-07-28 18:10:00+00:00,152.04,152.16,152.04,11,152.15,9160,152.1275
2020-07-28 18:15:00+00:00,152.0,152.0,152.0,4,152.0,2580,152.0
2020-07-28 18:20:00+00:00,152.22,152.22,152.15,7,152.15,10120,152.176
2020-07-28 18:30:00+00:00,151.8,151.8,151.8,2,151.8,2060,151.8
2020-07-28 18:40:00+00:00,152.03,152.03,151.93,16,151.93,16600,151.985
2020-07-28 18:45:00+00:00,151.96,151.96,151.9,3,151.9,4040,151.93
2020-07-28 18:50:00+00:00,151.48,151.48,151.47,3,151.47,6000,151.48
2020-07-28 19:00:00+00:00,151.45,151.45,151.45,1,151.45,2000,151.45
2020-07-28 19:05:00+00:00,151.2,151.2,151.2,1,151.2,2000,151.2
2020-07-28 19:10:00+00:00,150.57,151.27,150.57,27,151.27,32340,151.089231
2020-07-28 19:15:00+00:00,150.76,150.76,150.5,22,150.66,27680,150.604444
2020-07-28 19:20:00+00:00,151.17,151.17,150.92,13,150.92,20560,151.014
2020-07-28 19:30:00+00:00,150.31,150.85,150.31,4,150.85,6960,150.58
2020-07-28 19:35:00+00:00,150.42,150.6,150.42,6,150.54,6260,150.52
2020-07-28 19:40:00+00:00,150.43,150.45,150.37,10,150.45,14900,150.422857
2020-07-28 19:45:00+00:00,150.56,150.59,150.53,8,150.53,17280,150.555
2020-07-28 19:50:00+00:00,150.2,150.36,150.2,13,150.36,11800,150.28
2020-07-28 19:55:00+00:00,150.01,150.26,149.98,89,150.13,63780,150.091667
2020-07-29 13:30:00+00:00,151.11,151.63,150.85,63,151.63,96480,151.308984
2020-07-29 13:35:00+00:00,151.18,151.5,150.76,35,151.03,31260,151.136923
2020-07-29 13:40:00+00:00,151.11,151.39,151.11,22,151.39,40620,151.26
2020-07-29 13:45:00+00:00,150.18,150.96,150.18,23,150.87,30860,150.723333
2020-07-29 13:50:00+00:00,150.81,150.81,150.25,59,150.27,43880,150.539893
2020-07-29 13:55:00+00:00,151.05,151.34,151.05,12,151.05,16040,151.161429
2020-07-29 14:00:00+00:00,151.52,151.64,151.19,22,151.19,18220,151.387143
2020-07-29 14:05:00+00:00,151.32,151.62,151.11,20,151.62,14160,151.383333
2020-07-29 14:10:00+00:00,151.17,151.36,151.12,32,151.36,26820,151.2725
2020-07-29 14:15:00+00:00,151.1,151.19,150.78,13,151.19,18440,151.04
2020-07-29 14:20:00+00:00,150.94,151.19,150.94,10,151.07,8260,151.066667
2020-07-29 14:25:00+00:00,151.0,151.04,150.92,21,150.92,22400,150.98
